ID_src,l,b,yield,alphaCadence,alphaTexp
867,1.2,3.2,0.245127082183527,-0.3842650535452622,0.6876063561143314
868,1.2,3.4,0.20877761955970559,-0.36386539168978144,0.5565552854996777
869,1.2,3.6,0.163821991863276,-0.3371787911295744,0.4634277410297098
870,1.2,3.8,0.11356117291229159,-0.3389958907375976,0.5250945424198229
810,1.0,-4.0,0.1686232739205018,-0.29712852805040413,0.47276703292799005
809,1.0,-3.8,0.1956366301804896,-0.31282127124233544,0.565955046647963
808,1.0,-3.6,0.219408672462663,-0.32864779558491336,0.49172810046564586
807,1.0,-3.4,0.2685511618041414,-0.33967017750144535,0.5190729937083352
806,1.0,-3.2,0.3205851766849998,-0.3401912297359563,0.4235810716213852
805,1.0,-3.0,0.3716395527213882,-0.372257323657272,0.5967933438980011
804,1.0,-2.8,0.4131618654852228,-0.39332171502110463,0.49126653765845507
803,1.0,-2.6,0.5225110784987262,-0.3828095202379014,0.646804086038402
802,1.0,-2.4,0.5697221493953664,-0.4146454181464765,0.6068296707486898
801,1.0,-2.2,0.6194654681424066,-0.42864673373495193,0.5789198073975046
800,1.0,-2.0,0.8093955026855076,-0.4406215179808494,0.5988071130978051
799,1.0,-1.8,0.8894270831783346,-0.452981506043782,0.6669644378586109
798,1.0,-1.6,1.1141294470721137,-0.4590036733352491,0.6498527879622369
797,1.0,-1.4,1.139836205486775,-0.49959804275242975,0.6789315984120745
796,1.0,-1.2,1.254666623810487,-0.49701083847578387,0.5975883677449665
795,1.0,-1.0,1.2767203119794401,-0.4842769751450006,0.7527635693527145
794,1.0,-0.8,1.580071046850057,-0.486135726093542,0.8359250374940111
793,1.0,-0.6,1.2152107748331737,-0.5144035671414109,0.6425465866626424
792,1.0,-0.4,0.5752590039726749,-0.4668120068486903,0.6118974850647138
791,1.0,-0.2,0.43613933687827316,-0.4164582948872801,0.694681669389106
811,1.0,0.0,0.552590147911446,-0.3698387792274819,0.6163566308968267
812,1.0,0.2,0.1764800132984556,-0.372087941329051,0.7451386070071248
813,1.0,0.4,0.8555594547051821,-0.45166457444846536,0.7780171632854098
814,1.0,0.6,0.8994977991807469,-0.44945760402548074,0.7512095019952358
815,1.0,0.8,1.1636850271551336,-0.4480112565395001,0.6433945007991031
816,1.0,1.0,1.2507410547919193,-0.4684840534876826,0.5402687200463981
817,1.0,1.2,1.290855795868584,-0.5002206280712761,0.7090368703356571
818,1.0,1.4,1.115649319965884,-0.4666042797054244,0.6348576398671866
819,1.0,1.6,0.8784721428233934,-0.46895202478212006,0.6667793653716371
820,1.0,1.8,0.790089660967926,-0.439954403990543,0.6916941149550709
821,1.0,2.0,0.7044236162267472,-0.4454570664113237,0.43989804714107406
822,1.0,2.2,0.5731436640808709,-0.43478140432503676,0.6390882540675349
823,1.0,2.4,0.5077538965431108,-0.4239057800873252,0.5642321516394012
824,1.0,2.6,0.45142461345824764,-0.38974605135195367,0.6210951465303424
825,1.0,2.8,0.36297337219211945,-0.39405446820344836,0.6372322973184974
826,1.0,3.0,0.30625360111973643,-0.3734880795549866,0.48528885334571653
827,1.0,3.2,0.2657112071407992,-0.3591652686245996,0.599678522328287
828,1.0,3.4,0.2233642518377736,-0.34209186621003007,0.5971592026255087
829,1.0,3.6,0.18277563637639382,-0.3580413840153385,0.5983280318796736
830,1.0,3.8,0.1263878734457514,-0.34825145466713314,0.6036315246079161
770,0.8,-4.0,0.1571812651112664,-0.31984933792911396,0.4568950926273007
